Year,SL,State/UT,Rape (Sec.376 IPC) (I),Rape (Sec.376 IPC) (V),Rape (Sec.376 IPC) (R),Attempt to Commit Rape (Sec.376/511 IPC) (I),Attempt to Commit Rape (Sec.376/511 IPC) (V),Attempt to Commit Rape (Sec.376/511 IPC) (R),"Murder with Rape/Gang
Rape (I)","Murder with Rape/Gang
Rape (V)","Murder with Rape/Gang
Rape (R)",Rape (Sec.376 IPC) (Total) (I),Rape (Sec.376 IPC) (Total) (V),Rape (Sec.376 IPC) (Total)  (R),"Rape (Sec.376 IPC) Women (18 Yrs.
And above) (I)","Rape (Sec.376 IPC) Women (18 Yrs.
And above)  (V)","Rape (Sec.376 IPC) Women (18 Yrs.
And above)  (R)","Rape (Sec.376 IPC) Girls (Below 18
yrs)  (I)","Rape (Sec.376 IPC) Girls (Below 18
yrs)  (V)","Rape (Sec.376 IPC) Girls (Below 18
yrs)   (R)",Attempt to Commit Rape (Sec. 376/511 IPC) (Total) (I),Attempt to Commit Rape (Sec. 376/511 IPC) (Total) (V),Attempt to Commit Rape (Sec. 376/511 IPC) (Total) (R),"Attempt to Commit Rape (Sec. 376/511 IPC) Women (18 Yrs. And
above) (I)","Attempt to Commit Rape (Sec. 376/511 IPC) Women (18 Yrs. And
above) (V)","Attempt to Commit Rape (Sec. 376/511 IPC) Women (18 Yrs. And
above)  (R)",Attempt to Commit Rape (Sec. 376/511 IPC) Girls (Below 18 yrs) (I),Attempt to Commit Rape (Sec. 376/511 IPC) Girls (Below 18 yrs) (V),Attempt to Commit Rape (Sec. 376/511 IPC) Girls (Below 18 yrs) (R),Total Crime against Women (IPC+SLL) (I),Total Crime against Women (IPC+SLL) (V),Total Crime againstWomen (IPC+SLL) (R),Cases Reported,Child Victims of Rape - Below 6 Years,Child Victims of Rape - 6 Years & Above - Below 12 Years,Child Victims of Rape - 12 Years & Above - Below 16 Years,Child Victims of Rape - 16 Years & Above - Below 18 Years,Total Girl / Child Victims,Women Victims of Rape  - 18 Years & Above - Below 30 Years,Women Victims of Rape - 30 Years & Above - Below 45 Years,Women Victims of Rape - 45 Years & Above - Below 60 Years,Women Victims of Rape - 60 Years & Above,Total Women / Adult Victims,Total Victims (Col.8+Col.13),Cases Offender known to Victim (Total),Cases which Offenders were known to Victim - Family Members,Cases which Offenders were known to Victim - Friends/ Online-Friends or Live in Partners on Pretext of Marriage / Separated Husband,Cases which Offenders were known to Victim - Family Friends/ Neighours/ Employer or Other Known Persons,Cases Offenders Unknown or Not Identified,Total Rape Cases (Known+Unknown Offenders),Percentage Share of Known Cases to Total Rape Cases,Cases Pending Investigation from Previous Year,Cases Reported during the year,Cases Reopened for Investigation,Total Cases for Investigation (Col.3+Col.4+Col.5),Cases Not Investigated Under 157_1_b CRPC,Cases Transferred to Other State or Agency,Cases Withdrawn by the Govt during Investigation,Final Report - Cases Ended as FR Non Cognizable,Final Report - Cases Ended as Final Report False,Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute,Final Report - Cases True but Insufficient Evidence or Untraced or No Clue,Final Report - Cases Abated during Investigation,Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year,Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year,Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17),Total Cases Disposed Off by Police (Col.7+8+ 15+18),Cases Quashed  at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Invsgn.at end of the year (Cols.6-9-19-20),Chargesheeting Rate (Col.18/19*100),Pendency Percentage (Col.22/6*100),Cases Pending Trial from the Previous Year,Cases Sent for Trial during the year,Total Cases for Trial (Col.3+Col.4),Cases Abated by Court,Cases Withdrawn from Prosecution,Cases Compounded or Compromised,Cases Disposed off by Plea Bargaining,Cases Quashed,Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room,Cases Convicted Out of Cases from Previous Year,Cases Convicted Out of Cases during the Year,Cases Convicted (Col.13+Col.14),Cases Discharged,Cases Acquitted,Cases which Trials were Completed (Col.15+Col.16+ Col.17),Cases Disposed off by Courts (Col.11+Col.18),Cases Pending Trial at End of the Year (Col.5-Col.19),Conviction Rate (Col.15/ Col.18)*100,Pendency Percentage (Col.20/Col.5)*100
2021,34,Ladakh,2,2,1.5,0,0,0,0,0,0,2,2,1.5,1,1,0.8,1,1,0.8,0,0,0,0,0,0,0,0,0,18,18,13.8,2,0,0,0,1,1,1,0,0,0,1,2,2,0,2,0,0,2,100,4,18,0,22,0,0,0,0,1,0,1,0,2,1,11,12,14,0,0,8,85.7,36.4,29,12,41,0,0,4,0,0,4,0,4,0,4,0,4,8,12,29,50,70.7
2021,35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,53,9,0,62,0,0,0,0,0,0,6,0,6,20,4,24,30,0,0,32,80,51.6,48,24,72,0,0,0,0,0,0,0,0,0,0,0,2,2,2,70,0,97.2
2021,36,Puducherry,2,2,0.2,0,0,0,0,0,0,2,2,0.2,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,153,154,18.5,2,0,0,0,0,0,0,1,1,0,2,2,1,0,1,0,1,2,50,84,153,0,237,0,1,0,0,0,2,1,0,3,50,112,162,166,0,0,71,97.6,30,524,162,686,0,0,0,0,0,0,0,0,0,0,0,14,14,14,672,0,98
2020,1,Andhra Pradesh,5,5,0,1095,1107,4.2,5,5,0,1095,1107,4.2,518,520,2,577,587,2.2,141,141,0.5,101,101,0.4,40,40,0.2,17089,17219,65,1095,27,74,214,272,587,411,87,20,2,520,1107,1088,91,500,497,7,1095,99.4,11400,17089,26,28515,0,18,0,1,742,298,112,34,1187,5838,7268,13106,14311,2,19,14202,91.6,49.8,37493,13106,50599,38,1,2721,0,6,2766,8,253,26,279,217,3871,4367,7133,43466,6.4,85.9
2020,2,Arunachal Pradesh,0,0,0,60,63,8.1,0,0,0,60,63,8.1,31,34,4.2,29,29,3.9,2,5,0.3,2,5,0.3,0,0,0,281,296,38,60,1,6,14,8,29,20,14,0,0,34,63,49,13,7,29,11,60,81.7,364,281,0,645,0,0,0,0,1,29,56,0,86,92,135,227,313,0,0,332,72.5,51.5,2506,227,2733,0,0,0,0,0,0,10,1,0,1,2,1,4,4,2729,25,99.9
2020,3,Assam,26,26,0.2,1657,1658,9.7,26,26,0.2,1657,1658,9.7,1639,1640,9.6,18,18,0.1,485,485,2.8,485,485,2.8,0,0,0,26352,27028,154.3,1657,0,0,6,12,18,1006,584,50,0,1640,1658,1457,173,457,827,200,1657,87.9,27198,26352,0,53550,0,3,0,53,646,3338,4921,298,9256,5371,10943,16314,25573,0,0,27977,63.8,52.2,66521,16314,82835,0,5,39,0,0,44,0,68,72,140,21,4068,4229,4273,78562,3.3,94.8
2020,4,Bihar,3,3,0,806,806,1.4,3,3,0,806,806,1.4,805,805,1.4,1,1,0,69,72,0.1,64,67,0.1,5,5,0,15359,15457,26.3,806,0,0,1,0,1,631,156,18,0,805,806,790,132,412,246,16,806,98,13657,15359,0,29016,0,0,0,47,422,1872,146,0,2487,4220,5567,9787,12274,0,0,16742,79.7,57.7,81678,9787,91465,0,0,133,0,0,133,0,165,9,174,0,222,396,529,90936,43.9,99.4
2020,5,Chhattisgarh,8,8,0.1,1210,1212,8.3,8,8,0.1,1210,1212,8.3,1197,1199,8.2,13,13,0.1,118,118,0.8,114,114,0.8,4,4,0,7385,7642,50.7,1210,0,0,4,9,13,734,398,62,5,1199,1212,1184,87,536,561,26,1210,97.9,1971,7385,0,9356,1,0,0,6,701,35,91,45,878,789,5499,6288,7167,0,0,2189,87.7,23.4,24631,6288,30919,2,0,32,2,7,43,0,740,130,870,189,1261,2320,2363,28556,37.5,92.4
2020,6,Goa,1,1,0.1,60,61,7.8,1,1,0.1,60,61,7.8,19,19,2.5,41,42,5.3,0,0,0,0,0,0,0,0,0,219,239,28.5,60,2,5,23,12,42,12,5,2,0,19,61,59,5,29,25,1,60,98.3,112,219,0,331,0,0,0,0,1,29,24,0,54,57,119,176,230,0,0,101,76.5,30.5,1563,176,1739,0,0,0,0,0,0,0,11,0,11,6,58,75,75,1664,14.7,95.7
2020,7,Gujarat,7,7,0,486,486,1.5,7,7,0,486,486,1.5,486,486,1.5,0,0,0,3,3,0,3,3,0,0,0,0,8028,8071,24.4,486,0,0,0,0,0,350,126,8,2,486,486,457,30,229,198,29,486,94,937,8028,4,8969,1,2,6,0,13,152,249,14,428,412,7110,7522,7953,48,89,962,94.6,10.7,85531,7522,93053,4,1,88,0,7,100,14,54,5,59,4,1158,1221,1321,91732,4.8,98.6
2020,8,Haryana,2,2,0,1373,1373,10,2,2,0,1373,1373,10,1373,1373,10,0,0,0,215,215,1.6,213,213,1.6,2,2,0,13000,13049,94.7,1373,0,0,0,0,0,826,494,51,2,1373,1373,1336,117,349,870,37,1373,97.3,2893,13000,3,15896,0,0,0,0,5048,4,510,0,5562,1478,6184,7662,13224,0,1,2672,57.9,16.8,23456,7662,31118,0,0,0,0,2,2,0,164,4,168,1,876,1045,1047,30071,16.1,96.6
2020,9,Himachal Pradesh,8,8,0.2,331,332,9.1,8,8,0.2,331,332,9.1,135,135,3.7,196,197,5.4,3,3,0.1,3,3,0.1,0,0,0,1614,1622,44.5,331,8,20,91,78,197,78,53,3,1,135,332,329,51,119,159,2,331,99.4,384,1614,1,1999,0,0,0,0,206,70,33,28,337,278,983,1261,1598,0,0,401,78.9,20.1,7173,1261,8434,1,28,6,0,18,53,0,48,1,49,0,196,245,298,8136,20,96.5
2020,10,Jharkhand,9,9,0,1321,1326,7.1,9,9,0,1321,1326,7.1,1205,1210,6.5,116,116,0.6,188,202,1,143,157,0.8,45,45,0.2,7630,7706,41,1321,0,0,3,113,116,821,364,25,0,1210,1326,1200,111,356,733,121,1321,90.8,9157,7630,0,16787,0,0,0,106,113,573,735,8,1535,2484,3220,5704,7239,0,0,9548,78.8,56.9,19416,5704,25120,1,2,16,0,0,19,0,443,549,992,49,903,1944,1963,23157,51,92.2
2020,11,Karnataka,7,8,0,504,507,1.5,7,8,0,504,507,1.5,504,507,1.5,0,0,0,11,11,0,11,11,0,0,0,0,12680,13534,38.7,504,0,0,0,0,0,387,115,5,0,507,507,497,45,219,233,7,504,98.6,5475,12680,0,18155,0,218,0,0,1271,324,62,1,1658,3383,6971,10354,12230,5,34,5920,84.7,32.6,56595,10354,66949,33,0,266,0,35,334,8,160,3,163,265,3331,3759,4093,62856,4.3,93.9
2020,12,Kerala,1,1,0,637,647,3.5,1,1,0,637,647,3.5,637,647,3.5,0,0,0,59,60,0.3,49,50,0.3,10,10,0.1,10139,10316,55.1,637,0,0,0,0,0,359,247,31,10,647,647,628,55,290,283,9,637,98.6,5732,10139,91,15962,0,9,1,4,293,185,88,17,587,3897,5600,9497,10093,32,3,5836,94.1,36.6,65908,9497,75405,118,0,438,1,164,721,90,1319,48,1367,224,5551,7142,7863,67542,19.1,89.6
2020,13,Madhya Pradesh,27,27,0.1,2339,2341,5.8,27,27,0.1,2339,2341,5.8,2329,2331,5.7,10,10,0,35,35,0.1,24,24,0.1,11,11,0,25640,25998,63.3,2339,2,7,0,1,10,1587,657,81,6,2331,2341,2306,209,1042,1055,33,2339,98.6,4992,25640,0,30632,0,1,0,0,2518,467,1297,0,4282,1438,20703,22141,26424,6,0,4202,83.8,13.7,89462,22141,111603,2,0,1013,340,1,1356,17,1741,276,2017,971,3092,6080,7436,104167,33.2,93.3
2020,14,Maharashtra,20,23,0,2061,2065,3.5,20,23,0,2061,2065,3.5,2061,2065,3.5,0,0,0,3,3,0,2,2,0,1,1,0,31954,32363,53.8,2061,0,0,0,0,0,1420,577,61,7,2065,2065,2056,113,1047,896,5,2061,99.8,27209,31954,1,59164,0,106,3,216,556,4180,818,73,5843,11460,15644,27104,33053,48,23,26060,82,44,207203,27104,234307,46,8,628,0,16,698,6,634,34,668,44,3655,4367,5065,229242,15.3,97.8
2020,15,Manipur,2,2,0.1,32,32,2,2,2,0.1,32,32,2,30,30,1.9,2,2,0.1,5,5,0.3,5,5,0.3,0,0,0,247,248,15.8,32,0,0,0,2,2,25,5,0,0,30,32,31,1,25,5,1,32,96.9,1355,247,0,1602,0,0,0,1,0,6,79,0,86,57,53,110,196,0,0,1406,56.1,87.8,763,110,873,1,0,0,0,0,1,0,2,0,2,0,7,9,10,863,22.2,98.9
2020,16,Meghalaya,2,2,0.1,67,67,4.1,2,2,0.1,67,67,4.1,66,66,4.1,1,1,0.1,19,19,1.2,17,17,1,2,2,0.1,568,574,34.9,67,0,0,1,0,1,45,18,2,1,66,67,61,9,7,45,6,67,91,885,568,0,1453,0,0,0,0,0,15,176,3,194,187,190,377,571,0,0,882,66,60.7,2238,377,2615,13,1,6,0,0,20,0,53,10,63,25,40,128,148,2467,49.2,94.3
2020,17,Mizoram,0,0,0,33,33,5.5,0,0,0,33,33,5.5,18,18,3,15,15,2.5,1,1,0.2,1,1,0.2,0,0,0,172,173,28.8,33,1,0,14,0,15,12,4,1,1,18,33,33,11,7,15,0,33,100,19,172,2,193,0,0,0,0,0,0,2,0,2,8,159,167,169,0,0,24,98.8,12.4,624,167,791,2,0,0,0,0,2,0,56,16,72,2,21,95,97,694,75.8,87.7
2020,18,Nagaland,0,0,0,4,4,0.4,0,0,0,4,4,0.4,3,3,0.3,1,1,0.1,0,0,0,0,0,0,0,0,0,39,41,3.7,4,0,0,1,0,1,2,1,0,0,3,4,4,0,0,4,0,4,100,17,39,0,56,0,0,0,0,0,1,11,0,12,5,20,25,37,0,0,19,67.6,33.9,181,25,206,0,0,1,0,0,1,0,10,3,13,2,1,16,17,189,81.3,91.7
2020,19,Odisha,18,20,0.1,1211,1211,5.4,18,20,0.1,1211,1211,5.4,1194,1194,5.3,17,17,0.1,144,144,0.6,144,144,0.6,0,0,0,25489,25540,112.9,1211,0,0,4,13,17,1150,44,0,0,1194,1211,1170,3,1090,77,41,1211,96.6,11604,25489,0,37093,0,2,0,0,306,3916,754,0,4976,6317,16412,22729,27707,0,0,9386,82,25.3,114155,22729,136884,0,0,0,0,0,0,0,144,0,144,0,1427,1571,1571,135313,9.2,98.9
2020,20,Punjab,5,6,0,502,504,3.5,5,6,0,502,504,3.5,440,442,3.1,62,62,0.4,53,53,0.4,27,27,0.2,26,26,0.2,4838,4875,33.8,502,7,2,21,32,62,315,110,16,1,442,504,498,42,213,243,4,502,99.2,5593,4838,0,10431,0,0,0,0,700,191,158,0,1049,1825,1693,3518,4567,34,0,5830,77,55.9,8693,3518,12211,0,0,0,0,31,31,0,186,8,194,14,566,774,805,11406,25.1,93.4
2020,21,Rajasthan,8,8,0,5310,5337,13.9,8,8,0,5310,5337,13.9,4031,4058,10.6,1279,1279,3.4,965,968,2.5,887,890,2.3,78,78,0.2,34535,34763,90.5,5310,21,64,374,820,1279,2617,1216,225,0,4058,5337,5046,721,1531,2794,264,5310,95,3851,34535,0,38386,1,5,0,24,10491,4401,86,1,15003,1813,16498,18311,33320,1,5,5065,55,13.2,83860,18311,102171,17,28,248,389,16,698,7,3289,491,3780,1048,3137,7965,8663,93508,47.5,91.5
2020,22,Sikkim,0,0,0,12,13,3.8,0,0,0,12,13,3.8,9,9,2.8,3,4,0.9,1,1,0.3,1,1,0.3,0,0,0,140,146,44.2,12,0,0,3,1,4,6,1,2,0,9,13,12,2,3,7,0,12,100,33,140,0,173,0,1,0,0,0,0,3,6,9,13,93,106,116,0,0,57,91.4,32.9,277,106,383,0,0,0,1,0,1,2,11,0,11,3,15,29,30,353,37.9,92.2
2020,23,Tamil Nadu,3,3,0,389,390,1,3,3,0,389,390,1,389,390,1,0,0,0,15,15,0,15,15,0,0,0,0,6630,6888,17.4,389,0,0,0,0,0,306,71,5,8,390,390,381,40,219,122,8,389,97.9,5553,6630,7,12190,0,26,0,2,25,440,242,20,729,1893,2945,4838,5593,20,0,6577,86.5,54,19713,4838,24551,25,82,3,0,47,157,3,334,58,392,58,1376,1826,1983,22568,21.5,91.9
2020,24,Telangana,14,14,0.1,764,765,4.1,14,14,0.1,764,765,4.1,764,765,4.1,0,0,0,35,35,0.2,32,32,0.2,3,3,0,17791,18337,95.4,764,0,0,0,0,0,546,186,29,4,765,765,755,98,434,223,9,764,98.8,10957,17791,43,28791,0,16,0,0,854,606,291,106,1857,7765,9359,17124,18997,13,8,9781,90.1,34,39620,17124,56744,27,0,3636,0,16,3679,197,680,121,801,0,2329,3130,6809,49935,25.6,88
2020,25,Tripura,2,2,0.1,79,79,4,2,2,0.1,79,79,4,79,79,4,0,0,0,13,13,0.7,13,13,0.7,0,0,0,874,880,44,79,0,0,0,0,0,55,18,4,2,79,79,78,6,29,43,1,79,98.7,428,874,0,1302,0,0,0,1,13,116,39,0,169,250,544,794,963,0,0,339,82.5,26,4115,794,4909,0,0,23,0,0,23,0,34,0,34,0,150,184,207,4702,18.5,95.8
2020,26,Uttar Pradesh,31,31,0,2769,2796,2.5,31,31,0,2769,2796,2.5,2565,2590,2.3,204,206,0.2,251,251,0.2,188,188,0.2,63,63,0.1,49385,49761,45.1,2769,8,30,99,69,206,2033,487,70,0,2590,2796,2568,181,943,1444,201,2769,92.7,15501,49385,0,64886,0,7,0,209,753,1431,9765,77,12235,10175,30934,41109,53351,0,0,11535,77.1,17.8,184437,41109,225546,5,5,160,18,0,188,12,7848,538,8386,640,4728,13754,13942,211604,61,93.8
2020,27,Uttarakhand,0,0,0,487,487,8.8,0,0,0,487,487,8.8,482,482,8.7,5,5,0.1,12,12,0.2,12,12,0.2,0,0,0,2846,2848,51.6,487,0,0,3,2,5,301,168,13,0,482,487,457,5,94,358,30,487,93.8,1348,2846,0,4194,0,0,0,0,19,1,466,25,511,215,1822,2037,2548,0,0,1646,79.9,39.2,6836,2037,8873,8,0,0,0,0,8,9,62,37,99,3,135,237,245,8628,41.8,97.2
2020,28,West Bengal,9,9,0,1128,1128,2.4,9,9,0,1128,1128,2.4,1128,1128,2.4,0,0,0,872,927,1.8,872,927,1.8,0,0,0,36439,36975,76.2,1128,0,0,0,0,0,806,290,31,1,1128,1128,1012,13,2,997,116,1128,89.7,11883,36439,1,48323,1,67,0,2,108,3497,531,0,4138,6332,25022,31354,35560,0,0,12763,88.2,26.4,275741,31354,307095,0,0,84,0,1,85,0,59,14,73,134,3443,3650,3735,303360,2,98.8
